Samples,BDO,VEL,SUB,BAL,TIS
GUL_12ta,0,0,0,0,0
GUL_13ta,0,0,0,0,0
GUL_14ta,0,0,0,0,0
GUL_15ta,0,0,0,0,0
GUL_16ta,0,0,0,0,0
GUL_17ta,0,0,0,0,0
GUL_18ta,0,0,0,0,0
GUL_19ta,0,0,0,0,0
HAR_01ta,0,0,0,0,0
HAR_02ta,0,0,0,0,0
HLI_01da,0,0,0,0,0
HLI_02da,0,0,0,0,0
HMC_01da,0,0,0,0,0
HMC_02da,0,0,0,0,0
HMC_03da,0,0,0,0,0
HMC_04da,0,0,0,0,0
HNE_01da,0,0,0,0,0
HNE_02da,0,0,0,0,0
HNE_03da,0,0,0,0,0
HNE_04da,0,0,0,0,0
HNE_05da,0,0,0,0,0
HNE_06da,0,0,0,0,0
HNE_07da,0,0,0,0,0
HNI_01da,0,0,0,0,0
HNI_02da,0,0,0,0,0
HNI_03da,0,0,0,0,0
HNI_04da,0,0,0,0,0
HOC_01ta,0,0,0,0,0
HOC_02ta,0,0,0,0,0
HOC_03ta,0,0,0,0,0
HOC_04ta,0,0,0,0,0
HOC_05ta,0,0,0,0,0
HOC_06ta,0,0,0,0,0
HOC_07ta,0,0,0,0,0
HOC_08ta,0,0,0,0,0
HRA_01ta,0,0,0,0,0
HRA_02ta,0,0,0,0,0
HRA_03ta,0,0,0,0,0
HRA_04ta,0,0,0,0,0
HRA_05ta,0,0,0,0,0
HRA_06ta,0,0,0,0,0
HRA_07ta,0,0,0,0,0
HRA_08ta,0,0,0,0,0
HRA_09ta,0,0,0,0,0
HRA_10ta,0,0,0,0,0
HRA_11ta,0,0,0,0,0
HRA_12ta,0,0,0,0,0
HRA_13ta,0,0,0,0,0
HRC_01ta,0,0,0,0,0
HRN_01ta,0,0,0,0,0
HRN_02ta,0,0,0,0,0
HRN_03ta,0,0,0,0,0
HRN_04ta,0,0,0,0,0
HRN_05ta,0,0,0,0,0
HRN_06ta,0,0,0,0,0
INE_01ta,0,0,0,0,0
INE_02ta,0,0,0,0,0
INE_03ta,0,0,0,0,0
INE_04ta,0,0,0,0,0
INE_05ta,0,0,0,0,0
INE_06ta,0,0,0,0,0
INE_08ta,0,0,0,0,0
ING_01ta,0,0,0,0,0
ING_02ta,0,0,0,0,0
ING_03ta,0,0,0,0,0
ING_04ta,0,0,0,0,0
ING_05ta,0,0,0,0,0
ING_06ta,0,0,0,0,0
ING_07ta,0,0,0,0,0
ING_08ta,0,0,0,0,0
JVR_01da,0,0,0,0,0
JZC_01da,0,0,0,0,0
KAM_01ta,0,0,0,0,0
KAM_02ta,0,0,0,0,0
KAM_03ta,0,0,0,0,0
KAM_04ta,0,0,0,0,0
KAM_05ta,0,0,0,0,0
KAM_06ta,0,0,0,0,0
KAM_07ta,0,0,0,0,0
KAM_08ta,0,0,0,0,0
KAS_01ta,0,0,0,0,0
KAS_02ta,0,0,0,0,0
KAS_03ta,0,0,0,0,0
KAS_04ta,0,0,0,0,0
KAS_05ta,0,0,0,0,0
KAS_06ta,0,0,0,0,0
KAS_07ta,0,0,0,0,0
KAS_08ta,0,0,0,0,0
KEK_01da,0,0,0,0,0
KLE_01ta,0,0,0,0,0
KLE_02ta,0,0,0,0,0
KLE_03ta,0,0,0,0,0
KLE_04ta,0,0,0,0,0
KLE_05ta,0,0,0,0,0
KLE_06ta,0,0,0,0,0
KLE_07ta,0,0,0,0,0
KLE_08ta,0,0,0,0,0
KLE_09ta,0,0,0,0,0
KOS_01ta,0,0,0,0,0
KOS_02ta,0,0,0,0,0
KOS_03ta,0,0,0,0,0
KOS_04ta,0,0,0,0,0
KOS_05ta,0,0,0,0,0
KOS_06ta,0,0,0,0,0
KOS_07ta,0,0,0,0,0
KOW_01ta,0,0,0,0,0
KOW_02ta,0,0,0,0,0
KOW_03ta,0,0,0,0,0
KOW_04ta,0,0,0,0,0
KOW_05ta,0,0,0,0,0
KOW_06ta,0,0,0,0,0
KOW_07ta,0,0,0,0,0
KOW_08ta,0,0,0,0,0
KPS_01da,0,0,0,0,0
KPS_02da,0,0,0,0,0
KPS_03da,0,0,0,0,0
KPT_01ta,0,0,0,0,0
KRM_01da,0,0,0,0,0
KRM_02da,0,0,0,0,0
KRM_03da,0,0,0,0,0
KRM_04da,0,0,0,0,0
KRM_05da,0,0,0,0,0
KRM_06da,0,0,0,0,0
KRM_07da,0,0,0,0,0
KRM_08da,0,0,0,0,0
KZL_01da,0,0,0,0,0
KZL_02da,0,0,0,0,0
KZL_03da,0,0,0,0,0
KZL_04da,0,0,0,0,0
KZL_05da,0,0,0,0,0
LAC_01ta,0,0,0,0,0
LAC_02ta,0,0,0,0,0
LAC_03ta,0,0,0,0,0
LAC_04ta,0,0,0,0,0
LAC_05ta,0,0,0,0,0
LAC_06ta,0,0,0,0,0
LAC_07ta,0,0,0,0,0
LAC_08ta,0,0,0,0,0
LTW_01ta,0,0,0,0,0
LUB_01ta,0,0,0,0,0
MAR_01ta,0,0,0,0,0
MIA_01ta,0,0,0,0,0
MIA_02ta,0,0,0,0,0
MIA_03ta,0,0,0,0,0
MIA_04ta,0,0,0,0,0
MIA_05ta,0,0,0,0,0
MIA_06ta,0,0,0,0,0
MIA_07ta,0,0,0,0,0
MIA_08ta,0,0,0,0,0
MIA_09ta,0,0,0,0,0
MIE_02da,0,0,0,0,0
MIE_03da,0,0,0,0,0
MIE_04da,0,0,0,0,0
MIE_05da,0,0,0,0,0
MIE_06da,0,0,0,0,0
MIE_07da,0,0,0,0,0
MIE_08da,0,0,0,0,0
MIE_09da,0,0,0,0,0
MIE_10da,0,0,0,0,0
MIE_11da,0,0,0,0,0
OPP_01ta,0,0,0,0,0
OPP_02ta,0,0,0,0,0
OPP_03ta,0,0,0,0,0
OPP_04ta,0,0,0,0,0
OPP_05ta,0,0,0,0,0
OPP_06ta,0,0,0,0,0
OPP_07ta,0,0,0,0,0
OPP_08ta,0,0,0,0,0
